observation_id,decision_class,reviewer_id,observed_on,raw_seconds,idle_trimmed_seconds,artifact_words,genuinely_checked
obs-0098,C,u-3042,2026-07-08,2911.9,2160.0,2100,true
obs-0099,C,u-3119,2026-07-08,3074.1,2560.0,2100,true
obs-0100,C,u-3388,2026-07-08,3756.9,2960.0,2100,true
obs-0101,C,u-3450,2026-07-08,3892.7,3190.9,2100,true
obs-0102,C,u-1180,2026-07-08,3804.2,3365.5,2100,true
obs-0103,C,u-2291,2026-07-08,3912.0,3540.0,2100,true
obs-0104,C,u-3042,2026-07-08,3915.4,3714.6,2100,true
obs-0105,C,u-3119,2026-07-08,4596.8,3889.1,2100,true
obs-0106,C,u-3388,2026-07-08,4916.3,4063.6,2100,true
obs-0107,C,u-3450,2026-07-08,5689.4,4238.2,2100,true
obs-0108,C,u-1180,2026-07-08,5358.0,4412.7,2100,true
obs-0109,C,u-2291,2026-07-08,6231.7,4685.5,2100,true
obs-0110,C,u-3042,2026-07-08,5182.6,5056.4,2100,true
obs-0111,C,u-3119,2026-07-08,6608.8,5427.3,2100,true
obs-0112,C,u-3388,2026-07-08,6617.1,5798.2,2100,true
obs-0113,C,u-3450,2026-07-08,6904.1,6169.1,2100,true
obs-0114,C,u-1180,2026-07-08,8505.3,6540.0,2100,true
obs-0115,C,u-2291,2026-07-08,9111.7,6910.9,2100,true
obs-0116,C,u-3042,2026-07-08,7943.4,7281.8,2100,true
obs-0117,C,u-3119,2026-07-08,9344.9,7705.4,2100,true
obs-0118,C,u-3388,2026-07-08,8511.3,8287.3,2100,true
obs-0119,C,u-3450,2026-07-08,10904.5,8869.1,2100,true
obs-0120,C,u-1180,2026-07-08,12203.2,9450.9,2100,true
obs-0121,C,u-2291,2026-07-08,11630.1,10032.7,2100,true
obs-0122,C,u-3042,2026-07-08,13637.0,10669.1,2100,true
obs-0123,C,u-3119,2026-07-08,12699.1,11432.7,2100,true
obs-0124,C,u-3388,2026-07-08,13410.4,12196.4,2100,true
obs-0125,C,u-3450,2026-07-08,17278.1,12960.0,2100,true
obs-0126,C,u-1180,2026-07-08,291.3,291.3,2100,false
obs-0127,C,u-2291,2026-07-08,458.8,458.8,2100,false
obs-0128,C,u-3042,2026-07-08,404.9,404.9,2100,false
obs-0129,C,u-3119,2026-07-08,335.1,335.1,2100,false
obs-0130,C,u-3388,2026-07-08,346.4,346.4,2100,false
obs-0131,C,u-3450,2026-07-08,347.1,347.1,2100,false
